Scheme Name,Category,Fund manager,ISIN,Manager strike rate,AUM in Cr,Expense ratio,Current Status,Fund score New,Percentile Rank,Strength,Weakness,Who should invest,Who should avoid investing
Aditya Birla SL Focused Equity Fund(G)-Direct Plan,Focused Fund,Mahesh Patil,INF209K01WE3,67%,6096,0.87%,Ranked,71,81%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Satisfactory - Fund Manager strike rate is 66%.
","Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who are looking for concentrated portfolios with less diversified stocks
Investors with experience of investing in the equity market
Those who understand market risk and volatility
","Those who are looking for a diversified portfolio with low to moderate risk and less volatility
"
ICICI Pru Focused Equity Fund(G)-Direct Plan,Focused Fund,Sankaran Naren,INF109K018N2,57%,4015,0.58%,Ranked,67,77%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
","Unsatisfactory - Fund Manger strike rate is 56%.
Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who are looking for concentrated portfolios with less diversified stocks
Investors with experience of investing in the equity market
Those who understand market risk and volatility
","Those who are looking for a diversified portfolio with low to moderate risk and less volatility
"
Sundaram Focused Fund(G)-Direct Plan,Focused Fund,Ravi Gopalakrishnan,INF173K01EK6,57%,809,1.18%,Ranked,63,69%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
","Unsatisfactory - Fund Manger strike rate is 57%.
Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who are looking for concentrated portfolios with less diversified stocks
Investors with experience of investing in the equity market
Those who understand market risk and volatility
","Those who are looking for a diversified portfolio with low to moderate risk and less volatility
"
DSP Focus Fund(G)-Direct Plan,Focused Fund,Vinit Sambre,INF740K01OB0,62%,1939,1.07%,Ranked,49,65%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Satisfactory - Fund Manager strike rate is 61%.
","Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who are looking for concentrated portfolios with less diversified stocks
Investors with experience of investing in the equity market
Those who understand market risk and volatility
","Those who are looking for a diversified portfolio with low to moderate risk and less volatility
"
HDFC Focused 30 Fund(G)-Direct Plan,Focused Fund,Roshi Jain,INF179K01VK7,82%,3000,0.76%,Ranked,41,62%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Very good - Fund Manager strike rate is 81%.
","Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who are looking for concentrated portfolios with less diversified stocks
Investors with experience of investing in the equity market
Those who understand market risk and volatility
","Those who are looking for a diversified portfolio with low to moderate risk and less volatility
"
IDFC Focused Equity Fund(G)-Direct Plan,Focused Fund,Sumit Agrawal,INF194K01W21,60%,1319,0.88%,Ranked,35,58%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Satisfactory - Fund Manager strike rate is 60%.
","Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who are looking for concentrated portfolios with less diversified stocks
Investors with experience of investing in the equity market
Those who understand market risk and volatility
","Those who are looking for a diversified portfolio with low to moderate risk and less volatility
"
HDFC Index Fund-S&P BSE Sensex(G)-Direct Plan,Index Funds,Krishan Daga,INF179K01WN9,,4214,0.20%,Coming Soon,,,,,"
","
"
ICICI Pru Nifty Next 50 Index Fund(G)-Direct Plan,Index Funds,Kayzad Eghlim,INF109K01Y80,,2610,0.30%,Coming Soon,,,,,"
",
UTI Nifty 50 Index Fund(G)-Direct Plan,Index Funds,Sharwan Kumar Goyal,INF789F01XA0,,9503,0.20%,Coming Soon,,,,,"
","
"
ICICI Pru Nifty 50 Index Fund(G)-Direct Plan,Index Funds,Kayzad Eghlim,INF109K012M7,,3971,0.17%,Coming Soon,,,,,"
","
"
HDFC Index Fund-NIFTY 50 Plan(G)-Direct Plan,Index Funds,Krishan Daga,INF179K01WM1,,7551,0.20%,Coming Soon,,,,,"
",
Nippon India Index Fund-Nifty 50 Plan(G)-Direct Plan,Index Funds,Mehul Dama,INF204K01H36,,637,0.20%,Coming Soon,,,,,"
","
"
SBI Nifty Index Fund(G)-Direct Plan,Index Funds,Raviprakash Sharma,INF200K01TE8,,3199,0.18%,Coming Soon,,,,,"
","
"
ICICI Pru S&P BSE Sensex Index Fund(G)-Direct Plan,Index Funds,Kayzad Eghlim,INF109KB10X0,,656,0.16%,Coming Soon,,,,,,
Mirae Asset Great Consumer Fund(G)-Direct Plan,Sector Funds,Ankit Jain,INF769K01BL5,100%,2087,0.49%,Ranked,76,97%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Very good - Fund Manager strike rate is 100%.
Treynor Ratio - Excess returns by portfolio beta is high.
Sharpe Ratio - Excess returns per unit of risk is high.
Sortino Ratio - Excess returns per unit of downside risk is high.","Jensen's Alpha - Ability to beat the benchmark is low.
","Those who have a high conviction of the performance of the particular sector in the near future or in the long run

","Those who are not willing to take the risk of investing in one particular sector or theme
"
Canara Rob Consumer Trends Fund(G)-Direct Plan,Sector Funds,Ennettee Fernandes,INF760K01DU1,42%,972,0.99%,Ranked,67,90%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Sharpe Ratio - Excess returns per unit of risk is high.
Sortino Ratio - Excess returns per unit of downside risk is high.","Unsatisfactory - Fund Manger strike rate is 41%.
Treynor Ratio - Excess returns by portfolio beta is low.
Jensen's Alpha - Ability to beat the benchmark is low.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
Aditya Birla SL India GenNext Fund(G)-Direct Plan,Sector Funds,Chanchal Khandelwal,INF209K01WC7,33%,3334,0.99%,Ranked,73,94%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Treynor Ratio - Excess returns by portfolio beta is high.
Sharpe Ratio - Excess returns per unit of risk is high.
Sortino Ratio - Excess returns per unit of downside risk is high.","Unsatisfactory - Fund Manger strike rate is 33%.
Jensen's Alpha - Ability to beat the benchmark is low.
","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
Kotak Infra & Eco Reform Fund(G)-Direct Plan,Sector Funds,Harish krishnan,INF178L01AL9,63%,690,1.04%,Ranked,58,75%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Satisfactory - Fund Manager strike rate is 62%.
Treynor Ratio - Excess returns by portfolio beta is high.
Jensen's Alpha - Ability to beat the benchmark is high.
Sortino Ratio - Excess returns per unit of downside risk is high.","Sharpe Ratio - Excess returns per unit of risk is low.
","Those who have a high conviction of the performance of the particular sector in the near future or in the long run

","Those who are not willing to take the risk of investing in one particular sector or theme
"
Franklin Build India Fund(G)-Direct Plan,Sector Funds,Ajay Argal,INF090I01JF5,60%,1250,1.26%,Ranked,78,99%,"Moderate risk - Fund has positive skewness and positive kurtosis, and may generate higher than average returns.
Satisfactory - Fund Manager strike rate is 60%.
Treynor Ratio - Excess returns by portfolio beta is high.
Sharpe Ratio - Excess returns per unit of risk is high.
Jensen's Alpha - Ability to beat the benchmark is high.
Sortino Ratio - Excess returns per unit of downside risk is high.","
","Those who have a high conviction of the performance of the particular sector in the near future or in the long run

","Those who are not willing to take the risk of investing in one particular sector or theme
"
DSP Natural Res & New Energy Fund(G)-Direct Plan,Sector Funds,Rohit Singhania,INF740K01QA7,75%,698,1.21%,Ranked,51,64%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Satisfactory - Fund Manager strike rate is 75%.
Treynor Ratio - Excess returns by portfolio beta is high.
Jensen's Alpha - Ability to beat the benchmark is high.","Sharpe Ratio - Excess returns per unit of risk is low.
Sortino Ratio - Excess returns per unit of downside risk is low.
","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
Tata Banking & Financial Services Fund(G)-Direct Plan,Sector Funds,Amey Sathe,INF277K01Z10,0%,1291,0.58%,Ranked,64,84%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Treynor Ratio - Excess returns by portfolio beta is high.
Sharpe Ratio - Excess returns per unit of risk is high.
Jensen's Alpha - Ability to beat the benchmark is high.
Sortino Ratio - Excess returns per unit of downside risk is high.","Unsatisfactory - Fund Manger strike rate is%.
","Those who have a high conviction of the performance of the particular sector in the near future or in the long run

","Those who are not willing to take the risk of investing in one particular sector or theme
"
ICICI Pru Banking & Fin Serv Fund(G)-Direct Plan,Sector Funds,Roshan Chutkey,INF109K013J1,60%,5694,1.10%,Ranked,67,88%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Satisfactory - Fund Manager strike rate is 60%.
Sortino Ratio - Excess returns per unit of downside risk is high.","Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
SBI Infrastructure Fund(G)-Direct Plan,Sector Funds,Bhavin Vithlani,INF200K01RS2,100%,948,1.92%,Ranked,48,55%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Very good - Fund Manager strike rate is 100%.
","Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
HSBC Infrastructure Fund(G)-Direct Plan,Sector Funds,Venugopal Manghat,INF917K01FW8,40%,1537,1.13%,Ranked,48,54%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Jensen's Alpha - Ability to beat the benchmark is high.
","Unsatisfactory - Fund Manger strike rate is 40%.
Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
ICICI Pru FMCG Fund(G)-Direct Plan,Sector Funds,Priyanka Khandelwal,INF109K01Z14,34%,1213,1.44%,Ranked,63,82%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Sortino Ratio - Excess returns per unit of downside risk is high.
","Unsatisfactory - Fund Manger strike rate is 34%.
Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
ICICI Pru Exports & Services Fund(G)-Direct Plan,Sector Funds,Sankaran Naren,INF109K01W25,57%,1110,1.75%,Ranked,66,87%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Sharpe Ratio - Excess returns per unit of risk is high.
","Unsatisfactory - Fund Manger strike rate is 56%.
Treynor Ratio - Excess returns by portfolio beta is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
SBI Banking & Financial Services Fund(G)-Direct Plan,Sector Funds,Milind Agrawal,INF200KA1507,0%,3984,0.80%,Ranked,50,61%,"Moderate risk - Fund has positive skewness and positive kurtosis, and may generate higher than average returns.
Treynor Ratio - Excess returns by portfolio beta is high.
Sharpe Ratio - Excess returns per unit of risk is high.
Sortino Ratio - Excess returns per unit of downside risk is high.","Unsatisfactory - Fund Manger strike rate is%.
Jensen's Alpha - Ability to beat the benchmark is low.
","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
SBI Consumption Opp Fund(G)-Direct Plan,Sector Funds,Saurabh Pant,INF200K01RM5,25%,1194,1.24%,Ranked,58,73%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
","Unsatisfactory - Fund Manger strike rate is 25%.
Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run

","Those who are not willing to take the risk of investing in one particular sector or theme
"
Aditya Birla SL Infrastructure Fund(G)-Direct Plan,Sector Funds,Mahesh Patil,INF209K01WH6,67%,585,1.68%,Ranked,43,51%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Satisfactory - Fund Manager strike rate is 66%.
","Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
Quant Infrastructure Fund(G)-Direct Plan,Sector Funds,Ankit Pande,INF966L01721,93%,828,0.64%,Ranked,59,79%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Very good - Fund Manager strike rate is 92%.
Jensen's Alpha - Ability to beat the benchmark is high.","Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
Tata India Consumer Fund(G)-Direct Plan,Sector Funds,Sonam Udasi,INF277K013A6,35%,1453,0.89%,Ranked,75,96%,"Moderate risk - Fund has positive skewness and positive kurtosis, and may generate higher than average returns.
Sharpe Ratio - Excess returns per unit of risk is high.
Jensen's Alpha - Ability to beat the benchmark is high.
Sortino Ratio - Excess returns per unit of downside risk is high.","Unsatisfactory - Fund Manger strike rate is 35%.
Treynor Ratio - Excess returns by portfolio beta is low.
","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
Aditya Birla SL Digital India Fund(G)-Direct Plan,Sector Funds,Kunal Sangoi,INF209K01VF2,33%,3414,0.87%,Ranked,61,81%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
","Unsatisfactory - Fund Manger strike rate is 33%.
Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run

","Those who are not willing to take the risk of investing in one particular sector or theme
"
UTI Infrastructure Fund(G)-Direct Plan,Sector Funds,Sachin Trivedi,INF789F01TU6,50%,1561,1.96%,Ranked,37,43%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
","Unsatisfactory - Fund Manger strike rate is 50%.
Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run

","Those who are not willing to take the risk of investing in one particular sector or theme
"
Tata Infrastructure Fund(G)-Direct Plan,Sector Funds,Abhinav Sharma,INF277K01PQ8,33%,983,1.40%,Ranked,48,57%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
","Unsatisfactory - Fund Manger strike rate is 33%.
Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run

","Those who are not willing to take the risk of investing in one particular sector or theme
"
Sundaram Consumption Fund(G)-Direct Plan,Sector Funds,Ratish Varier,INF903J01NH5,58%,1228,1.44%,Ranked,59,78%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
","Unsatisfactory - Fund Manger strike rate is 58%.
Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run

","Those who are not willing to take the risk of investing in one particular sector or theme
"
SBI Technology Opp Fund(G)-Direct Plan,Sector Funds,Saurabh Pant,INF200K01RV6,25%,2832,0.90%,Ranked,65,85%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Sharpe Ratio - Excess returns per unit of risk is high.
Sortino Ratio - Excess returns per unit of downside risk is high.","Unsatisfactory - Fund Manger strike rate is 25%.
Treynor Ratio - Excess returns by portfolio beta is low.
Jensen's Alpha - Ability to beat the benchmark is low.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
Nippon India Pharma Fund(G)-Direct Plan,Sector Funds,Sailesh Raj Bhan,INF204K01I50,75%,4787,1.05%,Ranked,57,69%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Satisfactory - Fund Manager strike rate is 75%.
","Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
Tata Digital India Fund(G)-Direct Plan,Sector Funds,Meeta Shetty,INF277K01Z77,50%,6805,0.31%,Ranked,70,91%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Treynor Ratio - Excess returns by portfolio beta is high.
Sharpe Ratio - Excess returns per unit of risk is high.
Sortino Ratio - Excess returns per unit of downside risk is high.","Unsatisfactory - Fund Manger strike rate is 50%.
Jensen's Alpha - Ability to beat the benchmark is low.
","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
Nippon India Banking & Financial Services Fund(G)-Direct Plan,Sector Funds,Vinay Sharma,INF204K01XO1,88%,3992,1.06%,Ranked,58,72%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Very good - Fund Manager strike rate is 87%.
","Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
